Broker    Stock          Value     Changes   Date and Time
Broker 2  Commodity      567       6         9/15/2022 10:26:24 PM         
Broker 4  Commodity      567       6         9/15/2022 10:26:24 PM         
Broker 2  Banking        103       6         9/15/2022 10:26:24 PM         
Broker 3  Banking        103       6         9/15/2022 10:26:24 PM         
Broker 4  Banking        103       6         9/15/2022 10:26:24 PM         
Broker 1  Retail         37        7         9/15/2022 10:26:24 PM         
Broker 4  Retail         37        7         9/15/2022 10:26:24 PM         
Broker 2  Commodity      583       7         9/15/2022 10:26:24 PM         
Broker 4  Commodity      583       7         9/15/2022 10:26:24 PM         
Broker 2  Banking        105       7         9/15/2022 10:26:24 PM         
Broker 3  Banking        105       7         9/15/2022 10:26:24 PM         
Broker 4  Banking        105       7         9/15/2022 10:26:24 PM         
Broker 1  Retail         38        8         9/15/2022 10:26:25 PM         
Broker 4  Retail         38        8         9/15/2022 10:26:25 PM         
Broker 1  Technology     177       8         9/15/2022 10:26:25 PM         
Broker 2  Technology     177       8         9/15/2022 10:26:25 PM         
Broker 3  Technology     177       8         9/15/2022 10:26:25 PM         
Broker 4  Technology     177       8         9/15/2022 10:26:25 PM         
Broker 2  Commodity      587       8         9/15/2022 10:26:25 PM         
Broker 4  Commodity      587       8         9/15/2022 10:26:25 PM         
Broker 2  Banking        106       8         9/15/2022 10:26:25 PM         
Broker 3  Banking        106       8         9/15/2022 10:26:25 PM         
Broker 4  Banking        106       8         9/15/2022 10:26:25 PM         
Broker 1  Retail         39        9         9/15/2022 10:26:25 PM         
Broker 4  Retail         39        9         9/15/2022 10:26:25 PM         
Broker 1  Technology     179       9         9/15/2022 10:26:25 PM         
Broker 2  Technology     179       9         9/15/2022 10:26:25 PM         
Broker 3  Technology     179       9         9/15/2022 10:26:25 PM         
Broker 4  Technology     179       9         9/15/2022 10:26:25 PM         
Broker 2  Commodity      602       9         9/15/2022 10:26:25 PM         
Broker 4  Commodity      602       9         9/15/2022 10:26:25 PM         
